               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12006,            0.035339,            0.046842,           0.0026581,             0.25183,           0.0037259,          0.00074359,             0.10321,            0.025631,             0.03931,              0.0901,              0.0011,              0.0011
                   1,            0.096401,            0.039068,             0.03119,             0.76061,            0.036119,           0.0051119,          0.00096632,            0.087684,            0.030664,            0.023085,            0.079277,           0.0022772,           0.0022772
                   2,            0.081452,            0.038971,            0.023015,             0.81829,             0.08711,            0.058009,            0.017016,            0.076487,            0.055946,            0.020285,            0.068431,           0.0034307,           0.0034307
                   3,            0.074244,            0.031371,            0.022108,             0.84317,             0.14164,            0.099969,            0.032654,            0.072249,            0.020464,            0.018108,             0.05756,           0.0045604,           0.0045604
                   4,            0.071965,            0.028998,            0.020036,             0.88894,             0.12677,             0.14888,            0.049918,            0.063243,            0.018317,            0.016897,            0.046666,           0.0056664,           0.0056664
                   5,            0.068445,            0.026014,            0.020589,              0.8259,            0.097025,            0.090231,            0.035797,            0.070049,             0.01759,            0.016325,            0.035749,           0.0067485,           0.0067485
                   6,            0.066105,            0.028026,            0.019327,             0.34883,             0.37869,             0.16866,            0.049517,             0.06613,            0.020076,            0.014933,            0.024807,            0.007807,            0.007807
                   7,            0.062282,            0.024351,              0.0185,             0.51827,             0.35852,             0.32063,             0.12753,            0.064002,            0.018478,            0.013535,            0.013842,           0.0088416,           0.0088416
                   8,            0.059997,            0.023245,            0.016028,             0.31156,             0.49315,             0.35912,             0.14349,            0.055528,            0.017711,            0.012762,            0.009208,            0.009208,            0.009208
                   9,            0.055316,            0.023006,            0.013723,              0.2469,             0.59401,             0.41383,             0.16493,            0.057975,            0.018892,            0.011272,            0.009208,            0.009208,            0.009208
                  10,            0.052695,            0.021649,            0.012587,             0.47153,             0.49388,              0.4222,             0.17894,             0.05521,            0.019703,            0.010834,            0.009109,            0.009109,            0.009109
                  11,            0.050327,            0.021112,            0.011612,             0.59876,             0.60966,             0.56468,             0.22211,            0.052254,            0.017867,            0.010048,             0.00901,             0.00901,             0.00901
                  12,            0.049145,            0.022326,            0.010564,             0.60117,             0.60896,             0.55525,             0.24935,            0.047906,             0.01853,           0.0089188,            0.008911,            0.008911,            0.008911
                  13,            0.047614,            0.022781,           0.0095105,             0.61827,             0.55501,             0.53695,             0.20928,            0.046014,            0.017767,            0.010704,            0.008812,            0.008812,            0.008812
                  14,            0.046772,            0.021677,           0.0093111,             0.81796,             0.57656,             0.61711,             0.29334,            0.047916,            0.019185,            0.010595,            0.008713,            0.008713,            0.008713
                  15,            0.046414,            0.022205,           0.0089627,             0.72122,             0.68797,             0.71237,             0.31479,             0.04363,            0.015437,            0.008371,            0.008614,            0.008614,            0.008614
                  16,            0.044578,            0.021923,           0.0079739,             0.79653,              0.6036,             0.65582,             0.29833,             0.04156,            0.015514,           0.0078114,            0.008515,            0.008515,            0.008515
                  17,            0.043826,             0.02153,           0.0076392,             0.77181,             0.69223,             0.71699,             0.31993,            0.041741,            0.018944,           0.0076183,            0.008416,            0.008416,            0.008416
                  18,            0.042665,            0.020923,           0.0080725,             0.61325,             0.72138,             0.67569,             0.31283,             0.04163,            0.016345,           0.0070251,            0.008317,            0.008317,            0.008317
                  19,            0.043057,            0.020653,           0.0073867,             0.73402,             0.68734,             0.66586,             0.33704,             0.04096,            0.015102,           0.0079052,            0.008218,            0.008218,            0.008218
                  20,            0.040745,              0.0193,           0.0069854,             0.68139,             0.70177,             0.68134,             0.32812,            0.040629,            0.015119,           0.0079916,            0.008119,            0.008119,            0.008119
                  21,            0.041391,            0.019869,           0.0062411,             0.67921,             0.69539,             0.65931,             0.31231,            0.040652,            0.014698,           0.0076675,             0.00802,             0.00802,             0.00802
                  22,            0.039663,            0.020333,           0.0062022,             0.74712,             0.69812,             0.72695,             0.34221,            0.040432,            0.015032,           0.0088066,            0.007921,            0.007921,            0.007921
                  23,            0.039914,            0.019659,           0.0065294,              0.7488,             0.65203,             0.69097,             0.33695,            0.039718,             0.01482,            0.007933,            0.007822,            0.007822,            0.007822
                  24,            0.040265,            0.019732,           0.0067031,              0.7667,             0.64484,             0.68571,             0.34443,             0.04078,            0.015242,           0.0091141,            0.007723,            0.007723,            0.007723
                  25,             0.03893,            0.019183,           0.0062992,             0.71663,             0.75642,             0.70717,              0.3548,            0.040872,            0.014742,            0.006839,            0.007624,            0.007624,            0.007624
                  26,            0.038754,            0.019688,           0.0053653,              0.8016,             0.71223,             0.74207,             0.36792,            0.040469,            0.014613,           0.0074787,            0.007525,            0.007525,            0.007525
                  27,            0.037014,            0.019864,           0.0060512,             0.77132,             0.63393,             0.65775,             0.33232,            0.040002,            0.014704,            0.007917,            0.007426,            0.007426,            0.007426
                  28,            0.037643,            0.019073,            0.006222,              0.7614,             0.71961,              0.7268,              0.3577,            0.038724,             0.01454,           0.0084908,            0.007327,            0.007327,            0.007327
                  29,            0.036318,             0.01812,           0.0055694,             0.78175,             0.74057,             0.73617,             0.37281,            0.039085,            0.014368,           0.0075401,            0.007228,            0.007228,            0.007228
                  30,            0.037493,            0.019016,           0.0056561,             0.79962,             0.70077,              0.7178,             0.37776,            0.039864,            0.014538,           0.0072857,            0.007129,            0.007129,            0.007129
                  31,            0.037262,            0.019326,             0.00449,             0.79637,              0.7633,             0.76222,             0.36926,            0.038469,            0.014252,            0.007233,             0.00703,             0.00703,             0.00703
                  32,            0.035473,              0.0182,           0.0047796,             0.86132,             0.71949,             0.79616,             0.39097,            0.038894,            0.014565,            0.006905,            0.006931,            0.006931,            0.006931
                  33,            0.035833,            0.018968,           0.0047156,             0.83389,             0.70679,              0.7358,             0.34486,            0.039212,            0.015047,           0.0075703,            0.006832,            0.006832,            0.006832
                  34,            0.035966,             0.01919,           0.0050471,             0.82456,              0.7232,             0.74176,             0.35758,            0.038628,            0.014742,           0.0067032,            0.006733,            0.006733,            0.006733
                  35,            0.036697,            0.018367,           0.0049727,             0.83698,              0.7548,             0.77367,             0.37942,            0.037924,            0.014194,           0.0064106,            0.006634,            0.006634,            0.006634
                  36,            0.036011,            0.018843,           0.0047547,             0.78567,             0.73507,             0.72154,             0.37702,            0.038503,            0.014418,           0.0060047,            0.006535,            0.006535,            0.006535
                  37,            0.033447,            0.017797,           0.0046295,             0.79884,              0.7236,             0.75153,              0.3925,            0.038169,            0.014699,           0.0062588,            0.006436,            0.006436,            0.006436
                  38,            0.034164,            0.019115,            0.004537,             0.84125,             0.68858,             0.77191,             0.38405,            0.038551,            0.014461,           0.0069004,            0.006337,            0.006337,            0.006337
                  39,            0.033215,            0.017035,           0.0039042,             0.84488,             0.71092,             0.76499,             0.38388,            0.038263,            0.014476,            0.006896,            0.006238,            0.006238,            0.006238
                  40,            0.034056,            0.018112,           0.0040822,             0.86198,             0.70348,             0.75564,             0.40225,            0.038291,            0.014453,           0.0073925,            0.006139,            0.006139,            0.006139
                  41,            0.033704,            0.017884,           0.0043799,             0.82663,             0.70994,             0.76277,             0.39027,            0.038082,             0.01436,           0.0073425,             0.00604,             0.00604,             0.00604
                  42,            0.033092,             0.01751,           0.0045578,             0.86573,             0.71583,             0.78362,             0.43008,            0.037589,            0.014318,           0.0068031,            0.005941,            0.005941,            0.005941
                  43,            0.033316,            0.018468,            0.004009,             0.77394,             0.73337,             0.72273,              0.4036,             0.03752,            0.014229,           0.0070942,            0.005842,            0.005842,            0.005842
                  44,            0.032774,            0.017506,           0.0038454,             0.83528,             0.73211,             0.78952,             0.41019,            0.037214,            0.014348,           0.0065826,            0.005743,            0.005743,            0.005743
                  45,            0.031862,            0.017761,            0.003747,             0.78131,             0.69771,              0.7542,                0.41,            0.037224,            0.014769,           0.0065174,            0.005644,            0.005644,            0.005644
                  46,             0.03263,            0.017186,           0.0036065,              0.8364,             0.71982,             0.77958,             0.39773,            0.037307,            0.014611,            0.006646,            0.005545,            0.005545,            0.005545
                  47,            0.031758,            0.017092,           0.0038832,             0.80228,             0.73167,             0.74617,             0.37268,            0.037804,            0.014817,           0.0071545,            0.005446,            0.005446,            0.005446
                  48,            0.032229,            0.017081,           0.0035625,             0.79477,             0.73505,             0.76362,             0.39282,            0.037573,            0.015045,           0.0074144,            0.005347,            0.005347,            0.005347
