               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12008,             0.03533,            0.046846,           0.0027187,             0.26411,           0.0034577,          0.00069385,             0.10334,            0.025656,            0.039352,              0.0901,              0.0011,              0.0011
                   1,            0.096052,            0.039166,             0.03103,             0.77458,            0.053116,             0.02335,           0.0050209,            0.084284,            0.024677,            0.023039,            0.079277,           0.0022772,           0.0022772
                   2,            0.081594,            0.039087,            0.023133,             0.80023,            0.098442,            0.047759,            0.013675,            0.078539,            0.022963,            0.020279,            0.068431,           0.0034307,           0.0034307
                   3,            0.074128,            0.031604,            0.022382,             0.84382,             0.12394,             0.10983,            0.043151,             0.07025,            0.020388,            0.018474,             0.05756,           0.0045604,           0.0045604
                   4,            0.071004,            0.029104,            0.020294,             0.86552,             0.12323,             0.13007,             0.04108,              0.0661,            0.019657,            0.017133,            0.046666,           0.0056664,           0.0056664
                   5,            0.068923,            0.025923,            0.020755,             0.82598,            0.094901,            0.096906,            0.033371,            0.077984,            0.016564,            0.016096,            0.035749,           0.0067485,           0.0067485
                   6,            0.067206,            0.027937,            0.019258,              0.3774,             0.35478,             0.18176,            0.059027,            0.069678,            0.018883,            0.014764,            0.024807,            0.007807,            0.007807
                   7,            0.062207,            0.024486,            0.018261,              0.4426,             0.38051,             0.25027,            0.091477,            0.067895,            0.018946,            0.013511,            0.013842,           0.0088416,           0.0088416
                   8,            0.059583,             0.02318,            0.015862,             0.20145,             0.52179,             0.31284,             0.11532,            0.063468,            0.023157,              0.0131,            0.009208,            0.009208,            0.009208
                   9,            0.055065,            0.023111,            0.013777,             0.72902,             0.30897,             0.35913,             0.13301,            0.062812,            0.021894,            0.012508,            0.009208,            0.009208,            0.009208
                  10,            0.053367,            0.021893,            0.012306,             0.41625,             0.51285,             0.43818,             0.18067,            0.056013,            0.018715,            0.012748,            0.009109,            0.009109,            0.009109
                  11,            0.051272,            0.021419,            0.011428,             0.61684,             0.57064,             0.52856,             0.20445,            0.053066,            0.017354,            0.010281,             0.00901,             0.00901,             0.00901
                  12,            0.048948,            0.022627,            0.010452,             0.52796,              0.6853,             0.59858,              0.2647,            0.045394,            0.018047,            0.011138,            0.008911,            0.008911,            0.008911
                  13,            0.047256,            0.022694,           0.0094936,             0.63693,             0.50977,             0.57386,             0.25763,            0.046193,            0.017355,           0.0093731,            0.008812,            0.008812,            0.008812
                  14,            0.046728,            0.021565,           0.0088125,             0.69681,              0.6468,             0.62704,             0.27868,            0.047489,            0.016949,           0.0096554,            0.008713,            0.008713,            0.008713
                  15,            0.046274,            0.021897,           0.0086794,             0.61558,             0.65349,             0.64028,             0.30187,            0.043921,            0.015793,           0.0082054,            0.008614,            0.008614,            0.008614
