               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11608,            0.036789,            0.046624,             0.00292,             0.26357,           0.0039788,           0.0008032,             0.10033,            0.026587,            0.038678,              0.0901,              0.0011,              0.0011
                   1,            0.093861,             0.03977,            0.030659,             0.76269,            0.058074,             0.01207,           0.0030465,            0.084203,            0.024748,            0.022354,            0.079277,           0.0022772,           0.0022772
                   2,            0.079842,            0.038673,            0.022833,             0.78743,             0.10623,            0.043713,            0.010753,            0.075602,            0.027649,            0.019666,            0.068431,           0.0034307,           0.0034307
                   3,            0.073052,            0.031368,            0.022073,             0.79714,            0.080648,            0.041808,            0.011423,            0.086291,            0.020153,            0.017886,             0.05756,           0.0045604,           0.0045604
                   4,            0.070346,            0.029059,            0.019952,             0.84674,             0.11712,            0.098155,             0.03609,            0.074619,            0.018023,            0.016762,            0.046666,           0.0056664,           0.0056664
                   5,            0.068493,              0.0257,            0.020156,             0.82584,             0.14164,             0.10395,            0.037716,            0.068947,            0.017565,            0.015662,            0.035749,           0.0067485,           0.0067485
                   6,            0.064931,            0.028149,             0.01888,             0.39128,             0.40702,             0.18198,            0.052985,            0.072805,             0.02093,            0.014768,            0.024807,            0.007807,            0.007807
                   7,             0.06164,            0.024263,            0.017815,             0.53157,             0.37201,             0.31939,              0.1186,            0.063473,            0.020771,            0.013485,            0.013842,           0.0088416,           0.0088416
                   8,            0.057486,            0.023283,            0.015555,             0.57941,             0.36836,             0.36879,             0.14976,            0.058045,            0.021578,             0.01171,            0.009208,            0.009208,            0.009208
                   9,            0.055753,            0.022779,            0.013539,             0.42877,             0.64976,             0.47436,             0.17815,            0.062053,            0.023851,            0.011752,            0.009208,            0.009208,            0.009208
                  10,            0.052625,             0.02147,             0.01231,             0.55577,             0.50919,             0.48435,             0.19874,            0.049148,            0.018515,            0.010597,            0.009109,            0.009109,            0.009109
                  11,            0.050169,            0.021071,            0.011008,             0.39021,             0.47379,             0.42736,             0.16607,            0.049859,            0.019007,            0.014207,             0.00901,             0.00901,             0.00901
                  12,             0.04739,            0.022402,            0.010448,             0.55415,             0.62662,              0.5284,             0.22641,            0.047622,            0.017939,            0.010513,            0.008911,            0.008911,            0.008911
                  13,            0.046643,            0.022587,           0.0092755,              0.6954,              0.5801,             0.64384,             0.26386,            0.045448,            0.017176,            0.010605,            0.008812,            0.008812,            0.008812
                  14,            0.046226,            0.021693,           0.0089291,              0.6387,             0.72264,             0.68991,             0.31353,            0.049748,            0.017071,           0.0096767,            0.008713,            0.008713,            0.008713
                  15,            0.045787,            0.022209,           0.0086258,             0.76553,             0.61819,             0.64437,             0.29806,            0.043699,            0.016283,           0.0095943,            0.008614,            0.008614,            0.008614
                  16,            0.043657,            0.021874,           0.0078257,             0.69048,             0.60452,             0.64604,             0.28305,            0.042032,            0.015595,           0.0079018,            0.008515,            0.008515,            0.008515
                  17,            0.042983,            0.021744,           0.0080303,             0.60912,             0.63969,             0.63117,             0.27408,            0.040715,            0.015869,           0.0083298,            0.008416,            0.008416,            0.008416
                  18,            0.042538,            0.021027,           0.0081226,             0.78102,             0.69565,              0.7077,             0.31355,            0.042882,             0.01591,           0.0083069,            0.008317,            0.008317,            0.008317
                  19,            0.042632,            0.020545,           0.0075676,             0.70837,             0.69505,             0.70483,              0.3456,             0.03999,              0.0151,           0.0074703,            0.008218,            0.008218,            0.008218
                  20,            0.039931,            0.019106,           0.0069025,             0.75433,             0.69308,             0.71146,             0.34418,            0.039365,            0.015098,           0.0075153,            0.008119,            0.008119,            0.008119
                  21,            0.039485,            0.019583,           0.0063386,             0.74743,              0.7239,              0.7322,             0.32977,            0.040046,            0.014666,           0.0075817,             0.00802,             0.00802,             0.00802
                  22,            0.039377,             0.02023,           0.0058808,              0.7655,             0.70768,             0.72331,             0.32861,            0.040615,            0.015185,           0.0094318,            0.007921,            0.007921,            0.007921
                  23,            0.039563,            0.019804,           0.0065747,             0.77811,             0.63852,             0.68698,             0.34751,            0.040987,            0.015457,           0.0078243,            0.007822,            0.007822,            0.007822
                  24,            0.040456,            0.019904,           0.0064646,             0.75389,             0.71532,             0.71985,             0.34166,            0.040933,            0.014951,           0.0076313,            0.007723,            0.007723,            0.007723
                  25,            0.038123,            0.019136,           0.0061221,             0.75433,             0.62794,             0.68062,             0.33573,            0.039299,            0.014346,           0.0079124,            0.007624,            0.007624,            0.007624
                  26,            0.038002,            0.019819,           0.0054659,             0.82185,             0.70711,             0.71663,             0.37461,             0.03901,            0.014576,           0.0079937,            0.007525,            0.007525,            0.007525
                  27,             0.03837,            0.019817,           0.0060361,             0.75091,             0.64098,             0.66577,             0.32718,            0.039242,            0.014853,           0.0081211,            0.007426,            0.007426,            0.007426
                  28,             0.03689,            0.019065,           0.0060925,             0.73638,             0.74226,              0.7395,             0.33824,             0.03858,            0.014953,           0.0076828,            0.007327,            0.007327,            0.007327
                  29,            0.036906,            0.018178,           0.0055482,             0.71416,             0.70115,             0.70137,             0.34614,            0.038003,            0.014602,           0.0079208,            0.007228,            0.007228,            0.007228
                  30,            0.036746,            0.019071,           0.0051821,              0.7705,             0.68554,             0.73701,             0.36686,             0.03882,            0.014399,           0.0079597,            0.007129,            0.007129,            0.007129
                  31,            0.036794,            0.019581,           0.0044478,             0.83918,              0.7013,             0.75297,             0.38704,            0.039044,            0.014708,           0.0076221,             0.00703,             0.00703,             0.00703
                  32,            0.035191,            0.018392,           0.0047493,             0.79237,             0.68027,              0.7012,              0.3427,             0.03847,            0.014876,           0.0082199,            0.006931,            0.006931,            0.006931
                  33,            0.035153,             0.01896,            0.004902,             0.83028,             0.74579,             0.76988,             0.35868,            0.038313,            0.015079,           0.0080173,            0.006832,            0.006832,            0.006832
