               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11607,            0.036783,             0.04662,           0.0030138,             0.28407,            0.003808,          0.00072693,             0.10099,            0.026297,            0.038632,              0.0901,              0.0011,              0.0011
                   1,             0.09358,            0.039836,            0.030595,             0.75405,            0.050283,           0.0028691,           0.0006761,            0.089606,            0.030085,            0.022375,            0.079277,           0.0022772,           0.0022772
                   2,            0.080281,            0.038729,             0.02303,             0.79592,            0.082861,            0.044286,            0.010951,             0.07274,            0.059258,            0.019992,            0.068431,           0.0034307,           0.0034307
                   3,            0.073306,            0.031491,            0.022122,             0.82017,              0.1119,            0.078691,             0.02705,            0.075404,            0.019985,            0.018155,             0.05756,           0.0045604,           0.0045604
                   4,            0.070683,             0.02878,            0.019922,              0.8626,             0.11473,             0.12258,            0.050781,             0.06794,            0.017981,            0.016875,            0.046666,           0.0056664,           0.0056664
                   5,            0.068271,            0.025508,            0.020414,             0.84486,             0.11402,             0.13259,            0.046926,            0.068722,            0.017849,            0.015791,            0.035749,           0.0067485,           0.0067485
                   6,            0.065203,            0.028052,            0.019002,             0.36735,             0.38755,             0.18501,            0.052114,            0.062848,            0.018555,            0.014732,            0.024807,            0.007807,            0.007807
                   7,            0.061607,            0.024382,            0.018007,             0.47994,             0.39211,             0.31037,             0.11262,            0.065337,            0.019058,            0.013328,            0.013842,           0.0088416,           0.0088416
                   8,            0.058182,            0.023143,            0.015613,              0.4861,              0.3476,             0.24183,             0.10872,            0.061455,            0.017977,            0.012315,            0.009208,            0.009208,            0.009208
                   9,             0.05513,            0.023167,            0.013349,             0.26162,             0.59991,             0.42453,             0.15352,            0.056776,            0.018124,            0.011822,            0.009208,            0.009208,            0.009208
                  10,            0.052532,            0.021788,            0.012389,             0.42424,             0.61107,              0.4891,             0.19429,            0.052427,            0.017782,            0.010787,            0.009109,            0.009109,            0.009109
                  11,            0.050991,            0.021355,            0.011167,             0.41651,             0.71577,             0.62639,             0.27071,            0.049036,            0.019176,            0.010074,             0.00901,             0.00901,             0.00901
                  12,            0.047794,            0.022499,            0.010375,             0.60178,             0.64313,             0.58786,             0.28252,            0.047818,            0.018013,            0.010464,            0.008911,            0.008911,            0.008911
                  13,            0.047487,            0.022789,           0.0093292,             0.63605,             0.58373,             0.54991,              0.2615,            0.047751,            0.016793,           0.0099014,            0.008812,            0.008812,            0.008812
                  14,            0.046041,            0.021662,           0.0087265,             0.65613,             0.57326,              0.5906,             0.26518,            0.044447,            0.015709,           0.0086231,            0.008713,            0.008713,            0.008713
                  15,            0.043602,            0.022215,            0.008376,             0.57175,             0.62589,             0.59061,             0.28836,            0.043426,            0.015851,           0.0085217,            0.008614,            0.008614,            0.008614
                  16,            0.043297,            0.021823,           0.0077073,              0.6643,             0.60181,             0.60142,             0.28047,             0.04196,            0.015715,           0.0072765,            0.008515,            0.008515,            0.008515
                  17,            0.043834,            0.021673,           0.0074164,             0.67275,             0.72405,             0.68859,             0.30564,            0.040559,            0.015229,            0.009145,            0.008416,            0.008416,            0.008416
                  18,            0.042571,            0.020791,           0.0079927,             0.65216,             0.67046,             0.67763,             0.31755,            0.042432,            0.015473,            0.010773,            0.008317,            0.008317,            0.008317
                  19,            0.042798,            0.020416,           0.0075327,             0.71555,             0.60242,             0.63233,             0.32496,            0.041412,            0.015752,            0.013793,            0.008218,            0.008218,            0.008218
                  20,            0.040411,            0.019205,           0.0074521,             0.68263,             0.64432,             0.65695,             0.33422,            0.040632,            0.015259,           0.0091442,            0.008119,            0.008119,            0.008119
                  21,            0.039863,            0.019475,           0.0066554,             0.76198,             0.66472,             0.71338,             0.34362,            0.039996,            0.014872,           0.0070587,             0.00802,             0.00802,             0.00802
                  22,            0.039477,            0.020274,           0.0060378,             0.73013,             0.64086,              0.6816,             0.34044,            0.039882,            0.015815,           0.0070301,            0.007921,            0.007921,            0.007921
                  23,            0.038752,            0.019668,           0.0063309,             0.71589,             0.67755,             0.70275,             0.33893,            0.039386,            0.014819,           0.0067646,            0.007822,            0.007822,            0.007822
                  24,            0.038902,            0.019799,            0.006422,              0.7407,             0.64386,             0.66732,             0.36108,            0.039394,            0.014784,           0.0073219,            0.007723,            0.007723,            0.007723
                  25,            0.038783,            0.019105,           0.0063504,             0.69069,             0.67073,             0.64293,             0.32765,            0.040301,            0.014657,           0.0077744,            0.007624,            0.007624,            0.007624
                  26,            0.038228,             0.01977,           0.0054185,             0.77419,              0.6916,             0.73437,             0.37792,            0.039308,             0.01467,           0.0081795,            0.007525,            0.007525,            0.007525
                  27,            0.036833,            0.019799,           0.0061557,             0.77765,             0.71841,             0.73516,             0.35895,            0.038725,            0.014482,           0.0076115,            0.007426,            0.007426,            0.007426
                  28,            0.037709,            0.019191,           0.0060997,             0.78089,             0.72224,             0.71423,             0.35173,            0.039314,            0.014915,           0.0082523,            0.007327,            0.007327,            0.007327
                  29,            0.036225,            0.018075,           0.0055248,             0.83725,             0.75379,             0.78705,             0.40748,            0.038931,            0.014744,           0.0078465,            0.007228,            0.007228,            0.007228
                  30,            0.037167,            0.019087,           0.0055526,             0.75241,             0.67226,              0.7114,             0.35339,            0.040341,            0.015118,           0.0081928,            0.007129,            0.007129,            0.007129
                  31,             0.03711,            0.019633,           0.0046204,             0.77042,             0.76758,             0.76623,             0.42109,            0.039451,            0.014484,           0.0084888,             0.00703,             0.00703,             0.00703
                  32,            0.034617,            0.018308,           0.0046522,              0.8203,             0.72965,             0.76095,             0.40528,            0.038492,            0.014791,           0.0075462,            0.006931,            0.006931,            0.006931
                  33,            0.035197,            0.018936,           0.0047877,             0.72911,             0.70713,             0.71936,             0.36573,            0.038324,            0.014798,           0.0075649,            0.006832,            0.006832,            0.006832
                  34,            0.035213,             0.01924,           0.0049441,             0.78204,             0.70834,             0.71014,             0.37691,            0.036827,            0.014821,           0.0072029,            0.006733,            0.006733,            0.006733
                  35,            0.036341,            0.018262,           0.0049046,             0.84269,             0.72814,             0.78426,             0.40726,            0.037184,            0.014279,           0.0070526,            0.006634,            0.006634,            0.006634
                  36,             0.03519,            0.018638,             0.00459,             0.75601,             0.70985,             0.72857,             0.37842,            0.038168,            0.014523,           0.0067032,            0.006535,            0.006535,            0.006535
                  37,            0.032611,            0.017697,           0.0042753,             0.80905,             0.78321,             0.79035,             0.39323,            0.037744,            0.015037,           0.0058044,            0.006436,            0.006436,            0.006436
                  38,            0.034728,            0.019139,           0.0044192,             0.78165,             0.72314,              0.7471,             0.37231,            0.038098,            0.014598,           0.0068928,            0.006337,            0.006337,            0.006337
                  39,             0.03299,            0.017248,           0.0040087,             0.81594,             0.71171,             0.73733,             0.37031,            0.037326,             0.01451,            0.007926,            0.006238,            0.006238,            0.006238
                  40,            0.033319,            0.018176,           0.0041105,              0.7706,             0.69003,             0.70409,             0.36422,            0.037065,            0.014366,           0.0092007,            0.006139,            0.006139,            0.006139
                  41,            0.033662,            0.018029,           0.0045831,             0.81361,             0.74072,             0.74297,             0.38159,            0.037565,            0.014579,           0.0068111,             0.00604,             0.00604,             0.00604
                  42,            0.032476,            0.017595,           0.0044374,             0.85311,             0.70595,             0.76917,             0.39399,            0.037097,            0.014688,           0.0064962,            0.005941,            0.005941,            0.005941
                  43,            0.033205,            0.018667,           0.0041145,             0.78698,             0.72557,             0.74959,              0.4021,            0.036758,            0.014499,            0.006312,            0.005842,            0.005842,            0.005842
                  44,            0.032658,            0.017668,           0.0039211,             0.83267,             0.74571,             0.76558,              0.3997,            0.037181,            0.014246,           0.0068321,            0.005743,            0.005743,            0.005743
                  45,            0.031929,            0.017761,           0.0035625,             0.85386,             0.71882,              0.7777,             0.40599,            0.036468,            0.014296,           0.0067638,            0.005644,            0.005644,            0.005644
                  46,            0.032796,             0.01739,           0.0036293,             0.81199,             0.78658,              0.7964,              0.4127,            0.036482,            0.014009,           0.0064339,            0.005545,            0.005545,            0.005545
                  47,            0.031059,            0.016991,           0.0038199,             0.81441,             0.75063,             0.75488,             0.40357,            0.037466,            0.014761,           0.0075642,            0.005446,            0.005446,            0.005446
                  48,            0.031298,             0.01693,           0.0036459,             0.81104,              0.7324,              0.7563,             0.39324,            0.037328,            0.014785,           0.0074501,            0.005347,            0.005347,            0.005347
                  49,            0.030921,            0.016795,           0.0035127,             0.74378,             0.70259,              0.7113,             0.38906,            0.037559,             0.01473,           0.0069286,            0.005248,            0.005248,            0.005248
                  50,            0.031755,            0.018066,           0.0037106,             0.79186,             0.72074,              0.7277,             0.38588,            0.036889,            0.014536,           0.0062572,            0.005149,            0.005149,            0.005149
                  51,            0.030787,            0.016688,           0.0035451,             0.80167,             0.76808,             0.76674,             0.42713,            0.036557,            0.014507,           0.0070351,             0.00505,             0.00505,             0.00505
                  52,            0.031754,            0.016941,           0.0031917,             0.79254,             0.72234,             0.74754,             0.40465,               0.037,            0.014492,           0.0069775,            0.004951,            0.004951,            0.004951
                  53,            0.030313,            0.016834,           0.0034409,             0.80281,             0.75707,             0.77938,             0.42345,            0.036503,            0.014399,           0.0068703,            0.004852,            0.004852,            0.004852
                  54,            0.031535,            0.018378,           0.0040401,             0.82677,             0.73475,             0.77385,             0.43757,            0.036659,            0.014679,           0.0067873,            0.004753,            0.004753,            0.004753
                  55,            0.030076,             0.01697,           0.0034957,             0.81386,             0.77397,             0.76483,             0.43575,            0.036055,            0.014307,            0.006818,            0.004654,            0.004654,            0.004654
                  56,             0.03024,            0.015953,           0.0035424,             0.81476,             0.74249,             0.76186,                0.42,            0.036091,            0.014322,           0.0073856,            0.004555,            0.004555,            0.004555
                  57,            0.030516,            0.016946,           0.0031125,             0.74968,              0.7198,             0.72206,             0.37052,             0.03707,            0.014996,            0.007575,            0.004456,            0.004456,            0.004456
                  58,            0.030015,            0.016547,           0.0033976,              0.8003,             0.67274,             0.73478,             0.39375,            0.036657,            0.014724,           0.0072636,            0.004357,            0.004357,            0.004357
                  59,            0.029956,            0.016694,            0.003218,             0.74722,             0.70916,             0.73182,             0.39968,            0.036327,            0.014873,           0.0071693,            0.004258,            0.004258,            0.004258
                  60,                0.03,            0.016384,           0.0029352,             0.81389,             0.73682,             0.77172,             0.40308,            0.036127,            0.014757,           0.0069542,            0.004159,            0.004159,            0.004159
                  61,            0.028972,            0.015952,           0.0029695,             0.80096,             0.77859,             0.76799,             0.42278,            0.035992,            0.014834,           0.0065468,             0.00406,             0.00406,             0.00406
