               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11607,            0.036787,            0.046626,           0.0029359,              0.2383,           0.0052588,          0.00099658,             0.10016,            0.026566,            0.038806,              0.0901,              0.0011,              0.0011
                   1,             0.09416,            0.039744,            0.030814,            0.002558,             0.17964,           0.0020408,          0.00051413,            0.092326,            0.027723,            0.022652,            0.079277,           0.0022772,           0.0022772
                   2,            0.080466,            0.038597,            0.022979,             0.81877,            0.075779,            0.063972,            0.019342,            0.080628,            0.024235,            0.020215,            0.068431,           0.0034307,           0.0034307
                   3,            0.072697,            0.031512,            0.022268,             0.82756,             0.11686,            0.083323,            0.028998,            0.071235,            0.020361,             0.01814,             0.05756,           0.0045604,           0.0045604
                   4,            0.069988,            0.029134,            0.019946,             0.83168,             0.10861,             0.07717,            0.023969,            0.073203,            0.018266,            0.017238,            0.046666,           0.0056664,           0.0056664
                   5,            0.068374,            0.025718,            0.020482,             0.85112,             0.12748,             0.12235,            0.048394,            0.070299,            0.017401,            0.015646,            0.035749,           0.0067485,           0.0067485
                   6,            0.065303,            0.028001,            0.019002,             0.35812,             0.30253,             0.15267,             0.04578,            0.078747,            0.019908,            0.014574,            0.024807,            0.007807,            0.007807
                   7,            0.062654,            0.024478,            0.017932,             0.43406,             0.36966,              0.2588,            0.090778,            0.062934,            0.019926,            0.013513,            0.013842,           0.0088416,           0.0088416
                   8,            0.057539,            0.023824,            0.015938,             0.52099,              0.4021,             0.35098,             0.13969,            0.060554,            0.019236,            0.011849,            0.009208,            0.009208,            0.009208
                   9,            0.055226,            0.023221,            0.013395,             0.32959,             0.61938,             0.49321,             0.18082,            0.057799,            0.019566,            0.011887,            0.009208,            0.009208,            0.009208
                  10,            0.052803,            0.021456,             0.01247,             0.44722,             0.58098,              0.5176,             0.21797,            0.052947,            0.020159,            0.011608,            0.009109,            0.009109,            0.009109
                  11,            0.049949,            0.021539,            0.010822,             0.43877,             0.42594,             0.39706,             0.14302,            0.052762,            0.018856,            0.011411,             0.00901,             0.00901,             0.00901
                  12,            0.048349,            0.022645,            0.010045,             0.56202,              0.6181,             0.57913,             0.25481,            0.045765,            0.016786,           0.0090084,            0.008911,            0.008911,            0.008911
                  13,            0.047674,            0.022825,             0.00925,             0.75186,             0.51731,             0.63188,             0.27263,            0.043914,            0.016154,            0.010486,            0.008812,            0.008812,            0.008812
                  14,            0.046231,            0.021706,            0.008902,             0.74632,             0.50353,             0.60481,             0.26914,            0.046541,            0.016307,           0.0099758,            0.008713,            0.008713,            0.008713
                  15,              0.0457,            0.022302,           0.0087895,             0.72084,             0.54764,             0.61791,             0.28237,            0.045134,             0.01619,           0.0084949,            0.008614,            0.008614,            0.008614
                  16,            0.043775,            0.021804,           0.0079552,             0.71727,             0.62045,             0.68066,             0.31056,            0.041797,            0.015854,           0.0080971,            0.008515,            0.008515,            0.008515
                  17,            0.043382,            0.021477,           0.0079679,             0.71019,             0.67617,             0.68817,             0.31292,            0.040915,            0.016513,           0.0086903,            0.008416,            0.008416,            0.008416
                  18,            0.041722,            0.020943,           0.0079076,             0.63932,              0.6835,             0.62964,             0.30331,            0.041345,            0.016131,            0.007513,            0.008317,            0.008317,            0.008317
                  19,            0.041332,            0.020466,           0.0073062,             0.75718,             0.63411,             0.69552,             0.32743,            0.041308,            0.015768,            0.007914,            0.008218,            0.008218,            0.008218
                  20,            0.040408,            0.019193,           0.0073629,             0.67174,             0.66488,             0.65452,             0.31793,            0.040801,            0.015899,           0.0078304,            0.008119,            0.008119,            0.008119
                  21,            0.040649,            0.019807,           0.0065174,             0.81885,             0.59599,             0.66961,               0.319,            0.040816,            0.015095,           0.0076344,             0.00802,             0.00802,             0.00802
                  22,            0.039522,            0.020417,           0.0061314,             0.76893,             0.69711,             0.75381,             0.37064,            0.039822,            0.014924,           0.0074562,            0.007921,            0.007921,            0.007921
                  23,            0.039134,            0.019829,            0.006387,             0.66559,             0.67735,             0.68395,             0.33727,            0.039028,            0.014857,           0.0084751,            0.007822,            0.007822,            0.007822
                  24,            0.038956,            0.019829,           0.0066683,             0.71986,             0.74288,             0.75302,             0.37625,            0.040217,             0.01438,            0.007563,            0.007723,            0.007723,            0.007723
                  25,            0.038586,            0.018994,           0.0058977,             0.75401,             0.71123,             0.70417,             0.35987,            0.040213,            0.014647,           0.0069931,            0.007624,            0.007624,            0.007624
                  26,            0.039474,            0.019814,           0.0054645,             0.78401,             0.71527,             0.75324,             0.38736,            0.038559,            0.014617,           0.0076111,            0.007525,            0.007525,            0.007525
                  27,            0.036706,            0.019603,           0.0059416,             0.79912,             0.69703,             0.74498,             0.38033,            0.039072,            0.014273,           0.0075924,            0.007426,            0.007426,            0.007426
