               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12005,            0.035338,            0.046835,           0.0029199,             0.28985,           0.0041558,          0.00077477,             0.10342,            0.025593,            0.039276,              0.0901,              0.0011,              0.0011
                   1,            0.095991,            0.039055,            0.030966,             0.75807,            0.064448,            0.006622,           0.0016312,            0.089574,            0.023659,            0.022992,            0.079277,           0.0022772,           0.0022772
                   2,            0.081386,            0.038959,            0.023031,             0.81806,             0.11393,            0.073768,            0.021491,            0.074942,            0.023659,            0.020097,            0.068431,           0.0034307,           0.0034307
                   3,            0.074493,            0.031596,            0.022129,             0.83325,             0.12465,            0.094837,             0.03354,             0.07003,             0.02405,            0.018066,             0.05756,           0.0045604,           0.0045604
                   4,            0.070972,            0.029258,            0.019976,              0.7972,             0.07932,            0.040711,           0.0097415,             0.09337,            0.017046,            0.016988,            0.046666,           0.0056664,           0.0056664
                   5,             0.06931,            0.025832,            0.020553,             0.83161,             0.11331,            0.098567,            0.035298,            0.067134,            0.020665,             0.01602,            0.035749,           0.0067485,           0.0067485
                   6,            0.067122,            0.027859,            0.019122,             0.34269,             0.34094,             0.19773,            0.073929,             0.06462,            0.023278,            0.014553,            0.024807,            0.007807,            0.007807
                   7,            0.062367,            0.024476,            0.018133,             0.46668,             0.39703,             0.28402,             0.10281,            0.062367,            0.017828,            0.013773,            0.013842,           0.0088416,           0.0088416
                   8,            0.058259,            0.023176,            0.015761,             0.24228,             0.45913,             0.32054,             0.12393,            0.061472,             0.01997,            0.012509,            0.009208,            0.009208,            0.009208
                   9,            0.055001,             0.02336,            0.013731,             0.25054,             0.55589,             0.40461,             0.16227,             0.06415,            0.022272,            0.011867,            0.009208,            0.009208,            0.009208
                  10,            0.052765,            0.021843,            0.012313,             0.41238,             0.55953,             0.46565,             0.19436,              0.0534,            0.018978,            0.010146,            0.009109,            0.009109,            0.009109
                  11,            0.050836,            0.021279,            0.011186,             0.37488,             0.48622,             0.35672,             0.14185,            0.050285,            0.020546,            0.013242,             0.00901,             0.00901,             0.00901
                  12,            0.049981,            0.022648,            0.010468,             0.45396,             0.49344,              0.4594,              0.1887,            0.048796,            0.017017,            0.010894,            0.008911,            0.008911,            0.008911
                  13,            0.047215,            0.022683,           0.0093115,             0.63349,             0.57054,             0.57658,             0.28201,            0.043893,            0.016217,           0.0093674,            0.008812,            0.008812,            0.008812
                  14,            0.046175,            0.021476,           0.0087513,             0.73357,             0.58881,             0.63151,              0.2787,            0.047719,            0.017253,           0.0097679,            0.008713,            0.008713,            0.008713
                  15,            0.046128,            0.022113,           0.0086686,             0.67683,             0.61248,             0.63267,             0.29614,            0.046088,            0.016024,           0.0095016,            0.008614,            0.008614,            0.008614
                  16,            0.044442,            0.021937,           0.0077678,             0.72073,             0.66339,             0.67511,             0.29268,             0.04133,             0.01506,           0.0077274,            0.008515,            0.008515,            0.008515
                  17,            0.043485,            0.021705,            0.007917,              0.8057,             0.57257,               0.646,             0.29797,            0.041104,             0.01598,           0.0098793,            0.008416,            0.008416,            0.008416
                  18,            0.042297,            0.021008,           0.0082473,             0.67574,             0.62073,             0.63366,             0.28808,            0.042164,             0.01628,            0.009058,            0.008317,            0.008317,            0.008317
                  19,            0.043183,             0.02046,           0.0077198,             0.74845,              0.6151,             0.66918,             0.31363,            0.041178,            0.015676,           0.0080368,            0.008218,            0.008218,            0.008218
                  20,            0.040723,            0.019315,           0.0072822,             0.68959,             0.61227,             0.66761,             0.35323,            0.040292,            0.015338,           0.0080868,            0.008119,            0.008119,            0.008119
                  21,            0.040155,            0.019723,           0.0064486,             0.69933,             0.56896,             0.55784,             0.28881,            0.040292,            0.015532,            0.008395,             0.00802,             0.00802,             0.00802
                  22,            0.039748,             0.02043,           0.0061994,             0.75693,             0.75658,             0.75072,             0.36181,            0.039476,            0.015101,           0.0073158,            0.007921,            0.007921,            0.007921
